Study_Sample	Species	Downsampling	Companion_Sample	Grouping_Sites	Non_Grouping_Sites	Ratio	Z_Score	P_Val	Significant_Bonferroni
xlc_2	xlc	0.05X	CarLac	13	728	1.7543859649122806	0.5384615384615384	0.295129225657386	No
xlc_2	xlc	0.5X	CarOva	14	6904	0.2023706273489448	-1.3913043478260871	0.08206657797854627	No
xlc_2	xlc	0.25X	CarCor	15	3614	0.4133370074400662	-0.5217391304347825	0.30092598788527447	No
xlc_2	xlc	0.25X	CarPalm	16	3613	0.4408928079360706	-0.4347826086956521	0.33186011482280114	No
xlc_2	xlc	0.05X	CarCat	16	725	2.1592442645074224	1	0.15865525393145705	No
xlc_2	xlc	0.1X	CarCat	20	1416	1.392757660167131	1.2857142857142854	0.09927139684333108	No
xlc_2	xlc	0.25X	CarMyr	26	3603	0.7164508128961147	0.4347826086956521	0.33186011482280114	No
xlc_2	xlc	0.5X	CarCor	32	6886	0.46256143394044524	-0.6086956521739129	0.27136309472258613	No
xlc_2	xlc	0.5X	CarLac	37	6881	0.5348366579936398	-0.391304347826087	0.34778614273902875	No
xlc_2	xlc	0.5X	CarPalm	42	6876	0.6071118820468344	-0.17391304347826075	0.43096690081487854	No
xlc_2	xlc	0.5X	CarMyr	50	6868	0.7227522405319456	0.17391304347826075	0.43096690081487854	No
xlc_2	xlc	0.25X	CarCat	52	3577	1.4329016257922293	2.6956521739130435	0.003512549055645541	Yes
xlc_2	xlc	0.01X	CarIll	58	120	32.58426966292135	57	0	Yes
xlc_2	xlc	0.5X	CarCat	108	6810	1.5611448395490026	2.695652173913044	0.0035125490556455357	Yes
xlc_2	xlc	0.01X	CarAqu	114	64	64.04494382022472	113	0	Yes
xlc_2	xlc	0.025X	CarIll	152	205	42.57703081232493	49.666666666666664	0	Yes
xlc_2	xlc	0.025X	CarAqu	185	172	51.820728291316534	60.66666666666668	0	Yes
xlc_2	xlc	0.05X	CarIll	317	424	42.7800269905533	47.30769230769231	0	Yes
xlc_2	xlc	0.05X	CarAqu	380	361	51.28205128205128	57	0	Yes
xlc_2	xlc	0.1X	CarIll	620	816	43.17548746518106	86.99999999999997	0	Yes
xlc_2	xlc	0.1X	CarAqu	757	679	52.71587743732591	106.57142857142856	0	Yes
xlc_2	xlc	0.25X	CarIll	1566	2063	43.152383576742906	134.3478260869565	0	Yes
xlc_2	xlc	0.25X	CarAqu	1935	1694	53.320473959768535	166.43478260869566	0	Yes
xlc_2	xlc	0.5X	CarIll	2973	3945	42.974848222029486	127.26086956521739	0	Yes
xlc_2	xlc	0.5X	CarAqu	3662	3256	52.9343740965597	157.2173913043478	0	Yes
xlc_3	xlc	0.01X	CarLac	0	520	0	-1.5	0.06680720126885807	No
xlc_3	xlc	0.01X	CarOva	2	518	0.38461538461538464	-0.5	0.30853753872598694	No
xlc_3	xlc	0.01X	CarPalm	2	518	0.38461538461538464	-0.5	0.30853753872598694	No
